지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),일 최심신적설(cm)
108,서울,2019-01-01,-8.2,-.6,,
108,서울,2019-01-02,-8.8,.2,,
108,서울,2019-01-03,-8.4,3.2,,
108,서울,2019-01-04,-6.2,4.1,,
108,서울,2019-01-05,-5.5,1.1,,
108,서울,2019-01-06,-6.3,2.7,,
108,서울,2019-01-07,-6.2,3.1,,
108,서울,2019-01-08,-7.2,.5,,
108,서울,2019-01-09,-9.4,1.3,,
108,서울,2019-01-10,-4.5,3,,
108,서울,2019-01-11,-.4,7.2,,
108,서울,2019-01-12,-.6,8,,
108,서울,2019-01-13,-3,7.6,,
108,서울,2019-01-14,-2.4,5.3,,
108,서울,2019-01-15,-7.2,2.6,0,
108,서울,2019-01-16,-10.1,-1.1,0,
108,서울,2019-01-17,-3.2,4,0,
108,서울,2019-01-18,-4.6,6.7,,
108,서울,2019-01-19,0,8.5,,
108,서울,2019-01-20,-5.5,4,,
108,서울,2019-01-21,-6.7,4.2,0,
108,서울,2019-01-22,-3.3,7.1,,
108,서울,2019-01-23,-.8,7,,
108,서울,2019-01-24,-4.6,6.5,,
108,서울,2019-01-25,-3.8,2.6,,
108,서울,2019-01-26,-6.5,2.4,,
108,서울,2019-01-27,-6.6,5.1,,
108,서울,2019-01-28,-2.4,4.5,0,
108,서울,2019-01-29,-5.6,7,,
108,서울,2019-01-30,-2.8,6.6,,
108,서울,2019-01-31,-6.2,2.3,,
108,서울,2019-02-01,-7.4,2.8,.3,.2
108,서울,2019-02-02,-3.2,6.1,0,
108,서울,2019-02-03,2,4.9,16,
108,서울,2019-02-04,-3.3,3,,
108,서울,2019-02-05,-3.6,10.1,,
108,서울,2019-02-06,.1,9.3,,
108,서울,2019-02-07,-8.2,6.3,.5,0
108,서울,2019-02-08,-10.2,-1.3,,
108,서울,2019-02-09,-8.6,-1.9,,
108,서울,2019-02-10,-9.1,-1.9,,
108,서울,2019-02-11,-7.5,2,,
108,서울,2019-02-12,-4.1,3.7,0,
108,서울,2019-02-13,-5.7,2.5,,
108,서울,2019-02-14,-5.9,6.3,,
108,서울,2019-02-15,-2.9,.9,2.2,2.4
108,서울,2019-02-16,-5.1,1.5,.2,.3
108,서울,2019-02-17,-6.8,4.6,,
108,서울,2019-02-18,-4.7,5.9,,
108,서울,2019-02-19,.2,3,4.6,3.3
108,서울,2019-02-20,-.1,4.5,0,
108,서울,2019-02-21,-2.6,9,,
108,서울,2019-02-22,-1.6,10.8,,
108,서울,2019-02-23,.5,14.5,,
108,서울,2019-02-24,1.2,13.7,,
108,서울,2019-02-25,1.3,10.2,,
108,서울,2019-02-26,-1.5,12,,
108,서울,2019-02-27,4.7,14,,
108,서울,2019-02-28,2,12.8,,
108,서울,2019-03-01,1.2,13,,
108,서울,2019-03-02,1.3,14.7,,
108,서울,2019-03-03,2.5,16.1,,
108,서울,2019-03-04,5,16.3,,
108,서울,2019-03-05,5.6,12.9,,
108,서울,2019-03-06,5.7,12.4,,
108,서울,2019-03-07,3.1,12.7,,
108,서울,2019-03-08,.6,13.4,,
108,서울,2019-03-09,-.4,14.9,,
108,서울,2019-03-10,6.7,15.3,,
108,서울,2019-03-11,3.5,10,0,
108,서울,2019-03-12,-.3,7.9,0,
108,서울,2019-03-13,-.4,8.5,0,
108,서울,2019-03-14,-1.7,10,0,
108,서울,2019-03-15,1.6,11.3,3.5,
108,서울,2019-03-16,.2,9.2,,
108,서울,2019-03-17,2.6,12.4,,
108,서울,2019-03-18,1.4,14.4,,
108,서울,2019-03-19,3.4,16.7,,
108,서울,2019-03-20,7.1,14.6,16.5,
108,서울,2019-03-21,1.9,11.1,3.3,
108,서울,2019-03-22,-.7,8.3,,
108,서울,2019-03-23,-.4,8.2,1.7,
108,서울,2019-03-24,-.8,9.7,,
108,서울,2019-03-25,2.9,11.5,,
108,서울,2019-03-26,7.4,17.6,,
108,서울,2019-03-27,8.9,16.2,,
108,서울,2019-03-28,5.6,14.6,,
108,서울,2019-03-29,5.5,15.1,,
108,서울,2019-03-30,3.5,8.4,1.8,
108,서울,2019-03-31,2.6,8.4,0,
108,서울,2019-04-01,.3,11.3,,
108,서울,2019-04-02,1.3,13,,
108,서울,2019-04-03,1.9,13.6,,
108,서울,2019-04-04,3,15.7,,
108,서울,2019-04-05,7,17.2,0,
108,서울,2019-04-06,5.9,12.2,.8,
108,서울,2019-04-07,5.6,20.3,,
108,서울,2019-04-08,7.6,17.2,,
108,서울,2019-04-09,4.7,13.9,17.4,
108,서울,2019-04-10,4.7,10.2,5.6,
108,서울,2019-04-11,4.3,15.7,,
108,서울,2019-04-12,5.5,18.4,,
108,서울,2019-04-13,6.2,17.9,,
108,서울,2019-04-14,6.9,13.6,1.7,
108,서울,2019-04-15,3.9,18.1,,
108,서울,2019-04-16,6.8,22.6,,
108,서울,2019-04-17,9.1,21.8,,
108,서울,2019-04-18,10.4,16.2,0,
108,서울,2019-04-19,9.6,19.7,,
108,서울,2019-04-20,9.7,19.1,1.2,
108,서울,2019-04-21,12.2,20.2,.3,
108,서울,2019-04-22,10.7,28.2,,
108,서울,2019-04-23,15.3,25.5,0,
108,서울,2019-04-24,15.8,25.9,4.1,
108,서울,2019-04-25,9.4,17.2,11.3,
108,서울,2019-04-26,6.2,9.9,4.9,
108,서울,2019-04-27,4.1,18.2,,
108,서울,2019-04-28,9.9,16.6,0,
108,서울,2019-04-29,8.3,17.3,,
108,서울,2019-04-30,9,22.5,,
108,서울,2019-05-01,11.2,22.2,,
108,서울,2019-05-02,10.6,25.3,,
108,서울,2019-05-03,10.1,26.1,,
108,서울,2019-05-04,12,27.4,,
108,서울,2019-05-05,13.6,26.5,,
108,서울,2019-05-06,9.8,19.8,0,
108,서울,2019-05-07,8.4,21.9,,
108,서울,2019-05-08,10.1,21.3,,
108,서울,2019-05-09,11.7,22.9,,
108,서울,2019-05-10,10.3,26.8,,
108,서울,2019-05-11,13.2,28.3,,
108,서울,2019-05-12,14.7,28.9,,
108,서울,2019-05-13,15.5,22.8,0,
108,서울,2019-05-14,12.9,26.9,,
108,서울,2019-05-15,14.8,28,,
108,서울,2019-05-16,16.7,30,,
108,서울,2019-05-17,17.6,28.3,,
108,서울,2019-05-18,19.1,25.9,0,
108,서울,2019-05-19,17.9,21.6,22,
108,서울,2019-05-20,13,20.2,8.7,
108,서울,2019-05-21,11.7,23.8,,
108,서울,2019-05-22,12.3,26.5,,
108,서울,2019-05-23,15,29.2,,
108,서울,2019-05-24,16.2,33.4,,
108,서울,2019-05-25,18.4,28.6,,
108,서울,2019-05-26,18.6,31.1,,
