,date,month,hour,rate,weekday,min_c,max_c,rain,snow
0,2019-01-01,1,00,10,화,-8.2,-0.6,0,0
1,2019-01-01,1,01,2,화,-8.2,-0.6,0,0
2,2019-01-01,1,02,1,화,-8.2,-0.6,0,0
3,2019-01-01,1,03,20,화,-8.2,-0.6,0,0
4,2019-01-01,1,04,60,화,-8.2,-0.6,0,0
5,2019-01-01,1,05,41,화,-8.2,-0.6,0,0
6,2019-01-01,1,06,0,화,-8.2,-0.6,0,0
7,2019-01-01,1,07,0,화,-8.2,-0.6,0,0
8,2019-01-01,1,08,1,화,-8.2,-0.6,0,0
9,2019-01-01,1,09,2,화,-8.2,-0.6,0,0
10,2019-01-01,1,10,11,화,-8.2,-0.6,0,0
11,2019-01-01,1,11,1,화,-8.2,-0.6,0,0
12,2019-01-01,1,12,55,화,-8.2,-0.6,0,0
13,2019-01-01,1,13,60,화,-8.2,-0.6,0,0
14,2019-01-01,1,14,17,화,-8.2,-0.6,0,0
15,2019-01-01,1,15,24,화,-8.2,-0.6,0,0
16,2019-01-01,1,16,11,화,-8.2,-0.6,0,0
17,2019-01-01,1,17,3,화,-8.2,-0.6,0,0
18,2019-01-01,1,18,21,화,-8.2,-0.6,0,0
19,2019-01-01,1,19,8,화,-8.2,-0.6,0,0
20,2019-01-01,1,20,3,화,-8.2,-0.6,0,0
21,2019-01-01,1,21,5,화,-8.2,-0.6,0,0
22,2019-01-01,1,22,9,화,-8.2,-0.6,0,0
23,2019-01-01,1,23,2,화,-8.2,-0.6,0,0
24,2019-01-02,1,00,8,수,-8.8,0.2,0,0
25,2019-01-02,1,01,3,수,-8.8,0.2,0,0
26,2019-01-02,1,02,0,수,-8.8,0.2,0,0
27,2019-01-02,1,03,1,수,-8.8,0.2,0,0
28,2019-01-02,1,04,1,수,-8.8,0.2,0,0
29,2019-01-02,1,05,0,수,-8.8,0.2,0,0
30,2019-01-02,1,06,5,수,-8.8,0.2,0,0
31,2019-01-02,1,07,0,수,-8.8,0.2,0,0
32,2019-01-02,1,08,23,수,-8.8,0.2,0,0
33,2019-01-02,1,09,4,수,-8.8,0.2,0,0
34,2019-01-02,1,10,32,수,-8.8,0.2,0,0
35,2019-01-02,1,11,30,수,-8.8,0.2,0,0
36,2019-01-02,1,12,28,수,-8.8,0.2,0,0
37,2019-01-02,1,13,25,수,-8.8,0.2,0,0
38,2019-01-02,1,14,20,수,-8.8,0.2,0,0
39,2019-01-02,1,15,27,수,-8.8,0.2,0,0
40,2019-01-02,1,16,8,수,-8.8,0.2,0,0
41,2019-01-02,1,17,6,수,-8.8,0.2,0,0
42,2019-01-02,1,18,17,수,-8.8,0.2,0,0
43,2019-01-02,1,19,12,수,-8.8,0.2,0,0
44,2019-01-02,1,20,3,수,-8.8,0.2,0,0
45,2019-01-02,1,21,5,수,-8.8,0.2,0,0
46,2019-01-02,1,22,18,수,-8.8,0.2,0,0
47,2019-01-02,1,23,31,수,-8.8,0.2,0,0
48,2019-01-03,1,00,1,목,-8.4,3.2,0,0
49,2019-01-03,1,01,1,목,-8.4,3.2,0,0
50,2019-01-03,1,02,2,목,-8.4,3.2,0,0
51,2019-01-03,1,03,2,목,-8.4,3.2,0,0
52,2019-01-03,1,04,6,목,-8.4,3.2,0,0
53,2019-01-03,1,05,25,목,-8.4,3.2,0,0
54,2019-01-03,1,06,3,목,-8.4,3.2,0,0
55,2019-01-03,1,07,9,목,-8.4,3.2,0,0
56,2019-01-03,1,08,7,목,-8.4,3.2,0,0
57,2019-01-03,1,09,8,목,-8.4,3.2,0,0
58,2019-01-03,1,10,7,목,-8.4,3.2,0,0
59,2019-01-03,1,11,23,목,-8.4,3.2,0,0
60,2019-01-03,1,12,1,목,-8.4,3.2,0,0
61,2019-01-03,1,13,2,목,-8.4,3.2,0,0
62,2019-01-03,1,14,11,목,-8.4,3.2,0,0
63,2019-01-03,1,15,0,목,-8.4,3.2,0,0
64,2019-01-03,1,16,10,목,-8.4,3.2,0,0
65,2019-01-03,1,17,7,목,-8.4,3.2,0,0
66,2019-01-03,1,18,4,목,-8.4,3.2,0,0
67,2019-01-03,1,19,2,목,-8.4,3.2,0,0
68,2019-01-03,1,20,5,목,-8.4,3.2,0,0
69,2019-01-03,1,21,1,목,-8.4,3.2,0,0
70,2019-01-03,1,22,5,목,-8.4,3.2,0,0
71,2019-01-03,1,23,6,목,-8.4,3.2,0,0
72,2019-01-04,1,00,0,금,-6.2,4.1,0,0
73,2019-01-04,1,01,16,금,-6.2,4.1,0,0
74,2019-01-04,1,02,7,금,-6.2,4.1,0,0
75,2019-01-04,1,03,4,금,-6.2,4.1,0,0
76,2019-01-04,1,04,0,금,-6.2,4.1,0,0
77,2019-01-04,1,05,0,금,-6.2,4.1,0,0
78,2019-01-04,1,06,1,금,-6.2,4.1,0,0
79,2019-01-04,1,07,0,금,-6.2,4.1,0,0
80,2019-01-04,1,08,6,금,-6.2,4.1,0,0
81,2019-01-04,1,09,10,금,-6.2,4.1,0,0
82,2019-01-04,1,10,1,금,-6.2,4.1,0,0
83,2019-01-04,1,11,11,금,-6.2,4.1,0,0
84,2019-01-04,1,12,27,금,-6.2,4.1,0,0
85,2019-01-04,1,13,7,금,-6.2,4.1,0,0
86,2019-01-04,1,14,3,금,-6.2,4.1,0,0
87,2019-01-04,1,15,19,금,-6.2,4.1,0,0
88,2019-01-04,1,16,15,금,-6.2,4.1,0,0
89,2019-01-04,1,17,12,금,-6.2,4.1,0,0
90,2019-01-04,1,18,3,금,-6.2,4.1,0,0
91,2019-01-04,1,19,1,금,-6.2,4.1,0,0
92,2019-01-04,1,20,0,금,-6.2,4.1,0,0
93,2019-01-04,1,21,11,금,-6.2,4.1,0,0
94,2019-01-04,1,22,21,금,-6.2,4.1,0,0
95,2019-01-04,1,23,3,금,-6.2,4.1,0,0
96,2019-01-05,1,00,7,토,-5.5,1.1,0,0
97,2019-01-05,1,01,12,토,-5.5,1.1,0,0
98,2019-01-05,1,02,0,토,-5.5,1.1,0,0
99,2019-01-05,1,03,0,토,-5.5,1.1,0,0
100,2019-01-05,1,04,0,토,-5.5,1.1,0,0
101,2019-01-05,1,05,3,토,-5.5,1.1,0,0
102,2019-01-05,1,06,1,토,-5.5,1.1,0,0
103,2019-01-05,1,07,3,토,-5.5,1.1,0,0
104,2019-01-05,1,08,9,토,-5.5,1.1,0,0
105,2019-01-05,1,09,7,토,-5.5,1.1,0,0
106,2019-01-05,1,10,60,토,-5.5,1.1,0,0
107,2019-01-05,1,11,0,토,-5.5,1.1,0,0
108,2019-01-05,1,12,7,토,-5.5,1.1,0,0
109,2019-01-05,1,13,4,토,-5.5,1.1,0,0
110,2019-01-05,1,14,2,토,-5.5,1.1,0,0
111,2019-01-05,1,15,3,토,-5.5,1.1,0,0
112,2019-01-05,1,16,2,토,-5.5,1.1,0,0
113,2019-01-05,1,17,6,토,-5.5,1.1,0,0
114,2019-01-05,1,18,4,토,-5.5,1.1,0,0
115,2019-01-05,1,19,6,토,-5.5,1.1,0,0
116,2019-01-05,1,20,0,토,-5.5,1.1,0,0
117,2019-01-05,1,21,0,토,-5.5,1.1,0,0
118,2019-01-05,1,22,0,토,-5.5,1.1,0,0
119,2019-01-05,1,23,2,토,-5.5,1.1,0,0
120,2019-01-06,1,00,6,일,-6.3,2.7,0,0
121,2019-01-06,1,01,0,일,-6.3,2.7,0,0
122,2019-01-06,1,02,0,일,-6.3,2.7,0,0
123,2019-01-06,1,03,1,일,-6.3,2.7,0,0
124,2019-01-06,1,04,0,일,-6.3,2.7,0,0
125,2019-01-06,1,05,0,일,-6.3,2.7,0,0
126,2019-01-06,1,06,9,일,-6.3,2.7,0,0
127,2019-01-06,1,07,21,일,-6.3,2.7,0,0
128,2019-01-06,1,08,2,일,-6.3,2.7,0,0
129,2019-01-06,1,09,5,일,-6.3,2.7,0,0
130,2019-01-06,1,10,5,일,-6.3,2.7,0,0
131,2019-01-06,1,11,22,일,-6.3,2.7,0,0
132,2019-01-06,1,12,7,일,-6.3,2.7,0,0
133,2019-01-06,1,13,13,일,-6.3,2.7,0,0
134,2019-01-06,1,14,13,일,-6.3,2.7,0,0
135,2019-01-06,1,15,53,일,-6.3,2.7,0,0
136,2019-01-06,1,16,30,일,-6.3,2.7,0,0
137,2019-01-06,1,17,9,일,-6.3,2.7,0,0
138,2019-01-06,1,18,1,일,-6.3,2.7,0,0
139,2019-01-06,1,19,3,일,-6.3,2.7,0,0
140,2019-01-06,1,20,16,일,-6.3,2.7,0,0
141,2019-01-06,1,21,1,일,-6.3,2.7,0,0
142,2019-01-06,1,22,3,일,-6.3,2.7,0,0
143,2019-01-06,1,23,3,일,-6.3,2.7,0,0
144,2019-01-07,1,00,25,월,-6.2,3.1,0,0
