,방송일시,hour,ampm,마더코드,상품코드,상품명,상품군,판매단가,노출시간,취급액,판매개수,date,month,rate,weekday,min_c,max_c,rain,snow,PM,state
7,2019-01-01,6,AM,100346,201072,테이트 남성 셀린니트3종,의류,39900,60.0,12033000.0,302.0,2019-01-01,1.0,0.0,화,-8.2,-0.6,0.0,0.0,39.36,보통
8,2019-01-01,6,AM,100346,201079,테이트 여성 셀린니트3종,의류,39900,60.0,20663000.0,518.0,2019-01-01,1.0,0.0,화,-8.2,-0.6,0.0,0.0,39.36,보통
10,2019-01-01,7,AM,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,60.0,47878000.0,812.0,2019-01-01,1.0,0.0,화,-8.2,-0.6,0.0,0.0,39.36,보통
12,2019-01-01,8,AM,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,60.0,99736000.0,1666.0,2019-01-01,1.0,0.035,화,-8.2,-0.6,0.0,0.0,39.36,보통
15,2019-01-01,9,AM,100816,202404,보코 리버시블 무스탕,의류,79000,60.0,90973000.0,1152.0,2019-01-01,1.0,0.011000000000000001,화,-8.2,-0.6,0.0,0.0,39.36,보통
17,2019-01-01,10,AM,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,60.0,259678000.0,3251.0,2019-01-01,1.0,0.039,화,-8.2,-0.6,0.0,0.0,39.36,보통
19,2019-01-01,11,AM,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,40.0,74360000.0,1064.0,2019-01-01,1.0,0.012,화,-8.2,-0.6,0.0,0.0,39.36,보통
21,2019-01-01,12,PM,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,60.0,192141000.0,3156.0,2019-01-01,1.0,0.01,화,-8.2,-0.6,0.0,0.0,39.36,보통
0,2019-01-01,13,PM,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,60.0,111546000.0,1024.0,2019-01-01,1.0,0.01,화,-8.2,-0.6,0.0,0.0,39.36,보통
1,2019-01-01,14,PM,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,119000,60.0,51795000.0,436.0,2019-01-01,1.0,0.049,화,-8.2,-0.6,0.0,0.0,39.36,보통
2,2019-01-01,14,PM,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,의류,119000,60.0,68135000.0,573.0,2019-01-01,1.0,0.049,화,-8.2,-0.6,0.0,0.0,39.36,보통
3,2019-01-01,15,PM,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,60.0,86177000.0,1416.0,2019-01-01,1.0,0.069,화,-8.2,-0.6,0.0,0.0,39.36,보통
4,2019-01-01,16,PM,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,40.0,176244000.0,3532.0,2019-01-01,1.0,0.037000000000000005,화,-8.2,-0.6,0.0,0.0,39.36,보통
5,2019-01-01,16,PM,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,20.0,83893000.0,1376.0,2019-01-01,1.0,0.037000000000000005,화,-8.2,-0.6,0.0,0.0,39.36,보통
6,2019-01-01,17,PM,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,60.0,222836000.0,5599.0,2019-01-01,1.0,0.013999999999999999,화,-8.2,-0.6,0.0,0.0,39.36,보통
9,2019-01-01,18,PM,100435,201350,우리바다 손질왕꼬막 24팩,농수축,39900,60.0,246455000.0,6177.0,2019-01-01,1.0,0.051,화,-8.2,-0.6,0.0,0.0,39.36,보통
11,2019-01-01,19,PM,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000,60.0,190579000.0,1602.0,2019-01-01,1.0,0.03,화,-8.2,-0.6,0.0,0.0,39.36,보통
13,2019-01-01,20,PM,100150,200465,무이자 LG 통돌이 세탁기,가전,489000,60.0,123876000.0,254.0,2019-01-01,1.0,0.01,화,-8.2,-0.6,0.0,0.0,39.36,보통
14,2019-01-01,20,PM,100150,200533,일시불 LG 통돌이 세탁기,가전,439000,60.0,160698000.0,367.0,2019-01-01,1.0,0.01,화,-8.2,-0.6,0.0,0.0,39.36,보통
16,2019-01-01,21,PM,100049,202044,마리노블 밍크 롱코트,의류,499000,60.0,154715000.0,311.0,2019-01-01,1.0,0.06,화,-8.2,-0.6,0.0,0.0,39.36,보통
18,2019-01-01,22,PM,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,60.0,115831000.0,388.0,2019-01-01,1.0,0.03,화,-8.2,-0.6,0.0,0.0,39.36,보통
20,2019-01-01,23,PM,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,60.0,122537000.0,1364.0,2019-01-01,1.0,0.019,화,-8.2,-0.6,0.0,0.0,39.36,보통
52,2019-01-02,0,AM,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,60.0,34528000.0,494.0,2019-01-02,1.0,0.047,수,-8.8,0.2,0.0,0.0,33.08,보통
53,2019-01-02,0,AM,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,69900,60.0,25577000.0,366.0,2019-01-02,1.0,0.047,수,-8.8,0.2,0.0,0.0,33.08,보통
22,2019-01-02,1,AM,100193,200652,레이프릴 무빙 맥시풀커버 브라팬티,속옷,69900,57.1,43858000.0,628.0,2019-01-02,1.0,0.015,수,-8.8,0.2,0.0,0.0,33.08,보통
29,2019-01-02,6,AM,100229,200800,벨라홈 논슬립 옷걸이 세트,생활용품,29800,60.0,35241000.0,1183.0,2019-01-02,1.0,0.011000000000000001,수,-8.8,0.2,0.0,0.0,33.08,보통
31,2019-01-02,7,AM,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,60.0,70951000.0,1029.0,2019-01-02,1.0,0.0,수,-8.8,0.2,0.0,0.0,33.08,보통
33,2019-01-02,8,AM,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,60.0,67533000.0,1145.0,2019-01-02,1.0,0.039,수,-8.8,0.2,0.0,0.0,33.08,보통
37,2019-01-02,9,AM,100454,201409,NNF 쿠션퍼자켓+베스트,의류,39900,60.0,74098000.0,1858.0,2019-01-02,1.0,0.03,수,-8.8,0.2,0.0,0.0,33.08,보통
40,2019-01-02,10,AM,100448,202093,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,168000,60.0,40950000.0,244.0,2019-01-02,1.0,0.026000000000000002,수,-8.8,0.2,0.0,0.0,33.08,보통
41,2019-01-02,10,AM,100448,202095,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,158000,60.0,10137000.0,65.0,2019-01-02,1.0,0.026000000000000002,수,-8.8,0.2,0.0,0.0,33.08,보통
42,2019-01-02,10,AM,100448,202098,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,158000,60.0,78940000.0,500.0,2019-01-02,1.0,0.026000000000000002,수,-8.8,0.2,0.0,0.0,33.08,보통
43,2019-01-02,10,AM,100448,202100,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,148000,60.0,24550000.0,166.0,2019-01-02,1.0,0.026000000000000002,수,-8.8,0.2,0.0,0.0,33.08,보통
50,2019-01-02,11,AM,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,60.0,96155000.0,322.0,2019-01-02,1.0,0.057999999999999996,수,-8.8,0.2,0.0,0.0,33.08,보통
54,2019-01-02,12,PM,100765,202229,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,218000,60.0,18480000.0,85.0,2019-01-02,1.0,0.037000000000000005,수,-8.8,0.2,0.0,0.0,33.08,보통
55,2019-01-02,12,PM,100765,202230,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,238000,60.0,53370000.0,225.0,2019-01-02,1.0,0.037000000000000005,수,-8.8,0.2,0.0,0.0,33.08,보통
56,2019-01-02,12,PM,100765,202237,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,208000,60.0,11583000.0,56.0,2019-01-02,1.0,0.037000000000000005,수,-8.8,0.2,0.0,0.0,33.08,보통
57,2019-01-02,12,PM,100765,202238,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,228000,60.0,41430000.0,182.0,2019-01-02,1.0,0.037000000000000005,수,-8.8,0.2,0.0,0.0,33.08,보통
23,2019-01-02,13,PM,100844,202491,하늘내린 용대리황태10미,농수축,32900,60.0,112947000.0,3434.0,2019-01-02,1.0,0.066,수,-8.8,0.2,0.0,0.0,33.08,보통
24,2019-01-02,14,PM,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,60.0,85256000.0,783.0,2019-01-02,1.0,0.022000000000000002,수,-8.8,0.2,0.0,0.0,33.08,보통
25,2019-01-02,15,PM,100253,200864,안동간고등어 20팩,농수축,30900,60.0,155211000.0,5024.0,2019-01-02,1.0,0.055999999999999994,수,-8.8,0.2,0.0,0.0,33.08,보통
26,2019-01-02,16,PM,100722,202112,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",농수축,30900,60.0,27619000.0,894.0,2019-01-02,1.0,0.03,수,-8.8,0.2,0.0,0.0,33.08,보통
27,2019-01-02,16,PM,100722,202113,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,30900,60.0,47845000.0,1549.0,2019-01-02,1.0,0.03,수,-8.8,0.2,0.0,0.0,33.08,보통
28,2019-01-02,17,PM,100801,202365,바다먹자 국내산 손질꽃게 7팩,농수축,59900,60.0,130196000.0,2174.0,2019-01-02,1.0,0.033,수,-8.8,0.2,0.0,0.0,33.08,보통
