,date,month,hour,상품군,상품명,판매단가,노출시간,판매개수,취급액,시청률,weekday,PM,state,rate_count
0,2019-01-01,1.0,6,의류,테이트 남성 셀린니트3종,39900,60.0,302.0,12033000.0,0.0,화,39.36,보통,0
1,2019-01-01,1.0,6,의류,테이트 여성 셀린니트3종,39900,60.0,518.0,20663000.0,0.0,화,39.36,보통,0
2,2019-01-01,1.0,7,속옷,오모떼 레이스 파운데이션 브라,59000,60.0,812.0,47878000.0,0.0,화,39.36,보통,0
3,2019-01-01,1.0,8,의류,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,59900,60.0,1666.0,99736000.0,0.035,화,39.36,보통,1
4,2019-01-01,1.0,9,의류,보코 리버시블 무스탕,79000,60.0,1152.0,90973000.0,0.011000000000000001,화,39.36,보통,2
5,2019-01-01,1.0,10,의류,CERINI by PAT 남성 풀패키지 기모니트 3종,79900,60.0,3251.0,259678000.0,0.039,화,39.36,보통,11
6,2019-01-01,1.0,11,속옷,크로커다일 The 편안한 코튼 브라팬티 4세트,69900,40.0,1064.0,74360000.0,0.012,화,39.36,보통,1
7,2019-01-01,1.0,12,주방,에코라믹 통주물 스톤 냄비세트,60900,60.0,3156.0,192141000.0,0.01,화,39.36,보통,55
8,2019-01-01,1.0,13,속옷,오모떼 360도 텐션업 레이스 패키지 시즌4,109000,60.0,1024.0,111546000.0,0.01,화,39.36,보통,60
9,2019-01-01,1.0,14,의류,그렉노먼 남성 구스다운 롱 벤치코트,119000,60.0,436.0,51795000.0,0.049,화,39.36,보통,17
10,2019-01-01,1.0,14,의류,그렉노먼 여성 구스다운 롱 벤치코트,119000,60.0,573.0,68135000.0,0.049,화,39.36,보통,17
11,2019-01-01,1.0,15,농수축,뽕셰프 이봉원 특갈비탕 12팩,60900,60.0,1416.0,86177000.0,0.069,화,39.36,보통,24
12,2019-01-01,1.0,16,농수축,국내산 손질갑오징어 8팩,49900,40.0,3532.0,176244000.0,0.037000000000000005,화,39.36,보통,11
13,2019-01-01,1.0,16,농수축,멋진밥상 흥양농협 햅쌀 20kg,61000,20.0,1376.0,83893000.0,0.037000000000000005,화,39.36,보통,11
14,2019-01-01,1.0,17,이미용,비버리힐스폴로클럽 남성기초세트(2018FW골드),39800,60.0,5599.0,222836000.0,0.013999999999999999,화,39.36,보통,3
15,2019-01-01,1.0,18,농수축,우리바다 손질왕꼬막 24팩,39900,60.0,6177.0,246455000.0,0.051,화,39.36,보통,21
16,2019-01-01,1.0,19,속옷,푸마 에어핏 서포트 브라세트 15종+4종,119000,60.0,1602.0,190579000.0,0.03,화,39.36,보통,8
17,2019-01-01,1.0,20,가전,무이자 LG 통돌이 세탁기,489000,60.0,254.0,123876000.0,0.01,화,39.36,보통,3
18,2019-01-01,1.0,20,가전,일시불 LG 통돌이 세탁기,439000,60.0,367.0,160698000.0,0.01,화,39.36,보통,3
19,2019-01-01,1.0,21,의류,마리노블 밍크 롱코트,499000,60.0,311.0,154715000.0,0.06,화,39.36,보통,5
20,2019-01-01,1.0,22,의류,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,299000,60.0,388.0,115831000.0,0.03,화,39.36,보통,9
21,2019-01-01,1.0,23,속옷,로베르타 디 까메리노 올레이스 지퍼브라팬티,89900,60.0,1364.0,122537000.0,0.019,화,39.36,보통,2
22,2019-01-02,1.0,0,의류,그렉노먼 남성 캐시터치 터틀넥 4종,69900,60.0,494.0,34528000.0,0.047,수,33.08,보통,8
23,2019-01-02,1.0,0,의류,그렉노먼 여성 캐시터치 터틀넥 4종,69900,60.0,366.0,25577000.0,0.047,수,33.08,보통,8
24,2019-01-02,1.0,1,속옷,레이프릴 무빙 맥시풀커버 브라팬티,69900,57.1,628.0,43858000.0,0.015,수,33.08,보통,3
25,2019-01-02,1.0,6,생활용품,벨라홈 논슬립 옷걸이 세트,29800,60.0,1183.0,35241000.0,0.011000000000000001,수,33.08,보통,5
26,2019-01-02,1.0,7,건강기능,(직매입) 종근당건강 아이클리어 루테인,69000,60.0,1029.0,70951000.0,0.0,수,33.08,보통,0
27,2019-01-02,1.0,8,속옷,오모떼 레이스 파운데이션 브라,59000,60.0,1145.0,67533000.0,0.039,수,33.08,보통,23
28,2019-01-02,1.0,9,의류,NNF 쿠션퍼자켓+베스트,39900,60.0,1858.0,74098000.0,0.03,수,33.08,보통,4
29,2019-01-02,1.0,10,주방,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),168000,60.0,244.0,40950000.0,0.026000000000000002,수,33.08,보통,32
30,2019-01-02,1.0,10,주방,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),158000,60.0,65.0,10137000.0,0.026000000000000002,수,33.08,보통,32
31,2019-01-02,1.0,10,주방,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),158000,60.0,500.0,78940000.0,0.026000000000000002,수,33.08,보통,32
32,2019-01-02,1.0,10,주방,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),148000,60.0,166.0,24550000.0,0.026000000000000002,수,33.08,보통,32
33,2019-01-02,1.0,11,의류,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,299000,60.0,322.0,96155000.0,0.057999999999999996,수,33.08,보통,30
34,2019-01-02,1.0,12,주방,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,218000,60.0,85.0,18480000.0,0.037000000000000005,수,33.08,보통,28
35,2019-01-02,1.0,12,주방,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,238000,60.0,225.0,53370000.0,0.037000000000000005,수,33.08,보통,28
36,2019-01-02,1.0,12,주방,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,208000,60.0,56.0,11583000.0,0.037000000000000005,수,33.08,보통,28
37,2019-01-02,1.0,12,주방,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,228000,60.0,182.0,41430000.0,0.037000000000000005,수,33.08,보통,28
38,2019-01-02,1.0,13,농수축,하늘내린 용대리황태10미,32900,60.0,3434.0,112947000.0,0.066,수,33.08,보통,25
39,2019-01-02,1.0,14,속옷,오모떼 360도 텐션업 레이스 패키지 시즌4,109000,60.0,783.0,85256000.0,0.022000000000000002,수,33.08,보통,20
40,2019-01-02,1.0,15,농수축,안동간고등어 20팩,30900,60.0,5024.0,155211000.0,0.055999999999999994,수,33.08,보통,27
41,2019-01-02,1.0,16,농수축,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",30900,60.0,894.0,27619000.0,0.03,수,33.08,보통,8
42,2019-01-02,1.0,16,농수축,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",30900,60.0,1549.0,47845000.0,0.03,수,33.08,보통,8
43,2019-01-02,1.0,17,농수축,바다먹자 국내산 손질꽃게 7팩,59900,60.0,2174.0,130196000.0,0.033,수,33.08,보통,6
44,2019-01-02,1.0,18,주방,키친플라워 대용량 디지털 에어프라이어 5L,89800,60.0,1126.0,101053000.0,0.073,수,33.08,보통,17
45,2019-01-02,1.0,19,농수축,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,59900,60.0,2145.0,128485000.0,0.03,수,33.08,보통,12
46,2019-01-02,1.0,20,속옷,푸마 INNO 심리스 롱드로즈 7종,89000,60.0,68.0,6026000.0,0.018000000000000002,수,33.08,보통,3
47,2019-01-02,1.0,20,속옷,푸마 드라이셀라인 뉴 런닝 9종,89000,60.0,105.0,9321000.0,0.018000000000000002,수,33.08,보통,3
48,2019-01-02,1.0,20,속옷,푸마 코튼 라이크라 드로즈 12종,89000,60.0,1263.0,112405000.0,0.018000000000000002,수,33.08,보통,3
49,2019-01-02,1.0,21,가전,무이자 LG전자 매직스페이스 냉장고,1549000,60.0,31.0,47841000.0,0.015,수,33.08,보통,5
50,2019-01-02,1.0,21,가전,일시불 LG전자 매직스페이스 냉장고,1409000,60.0,44.0,61526000.0,0.015,수,33.08,보통,5
51,2019-01-02,1.0,22,가전,무이자 LG 울트라HD TV 55UK6800HNC,1440000,60.0,8.0,10524000.0,0.037000000000000005,수,33.08,보통,18
52,2019-01-02,1.0,22,가전,무이자 LG 울트라HD TV 65UK6800HNC,2130000,60.0,15.0,30986000.0,0.037000000000000005,수,33.08,보통,18
53,2019-01-02,1.0,22,가전,무이자 LG 울트라HD TV 70UK7400KNA,2990000,60.0,5.0,14523000.0,0.037000000000000005,수,33.08,보통,18
54,2019-01-02,1.0,22,가전,일시불 LG 울트라HD TV 55UK6800HNC,1300000,60.0,10.0,12659000.0,0.037000000000000005,수,33.08,보통,18
55,2019-01-02,1.0,22,가전,일시불 LG 울트라HD TV 65UK6800HNC,1900000,60.0,44.0,82649000.0,0.037000000000000005,수,33.08,보통,18
56,2019-01-02,1.0,22,가전,일시불 LG 울트라HD TV 70UK7400KNA,2700000,60.0,0.0,0.0,0.037000000000000005,수,33.08,보통,18
57,2019-01-02,1.0,23,속옷,크로커다일 풀커버 레이스 브라팬티 4세트,79900,60.0,1334.0,106570000.0,0.061,수,33.08,보통,31
58,2019-01-03,1.0,0,의류,테이트 남성 셀린니트3종,39900,40.0,447.0,17810000.0,0.015,목,38.8,보통,1
59,2019-01-03,1.0,0,의류,테이트 여성 셀린니트3종,39900,40.0,867.0,34570000.0,0.015,목,38.8,보통,1
