,date,month,hour,rate,weekday,min_c,max_c,rain,snow,PM,state
0,2019-01-01,1,00,0.012,화,-8.2,-0.6,0,0,39.36,보통
1,2019-01-01,1,01,0.034,화,-8.2,-0.6,0,0,39.36,보통
2,2019-01-01,1,02,0.014,화,-8.2,-0.6,0,0,39.36,보통
3,2019-01-01,1,03,0.014,화,-8.2,-0.6,0,0,39.36,보통
4,2019-01-01,1,04,0.014,화,-8.2,-0.6,0,0,39.36,보통
5,2019-01-01,1,05,0.011,화,-8.2,-0.6,0,0,39.36,보통
6,2019-01-01,1,06,0.0,화,-8.2,-0.6,0,0,39.36,보통
7,2019-01-01,1,07,0.0,화,-8.2,-0.6,0,0,39.36,보통
8,2019-01-01,1,08,0.035,화,-8.2,-0.6,0,0,39.36,보통
9,2019-01-01,1,09,0.011,화,-8.2,-0.6,0,0,39.36,보통
10,2019-01-01,1,10,0.039,화,-8.2,-0.6,0,0,39.36,보통
11,2019-01-01,1,11,0.012,화,-8.2,-0.6,0,0,39.36,보통
12,2019-01-01,1,12,0.01,화,-8.2,-0.6,0,0,39.36,보통
13,2019-01-01,1,13,0.01,화,-8.2,-0.6,0,0,39.36,보통
14,2019-01-01,1,14,0.049,화,-8.2,-0.6,0,0,39.36,보통
15,2019-01-01,1,15,0.069,화,-8.2,-0.6,0,0,39.36,보통
16,2019-01-01,1,16,0.037,화,-8.2,-0.6,0,0,39.36,보통
17,2019-01-01,1,17,0.014,화,-8.2,-0.6,0,0,39.36,보통
18,2019-01-01,1,18,0.051,화,-8.2,-0.6,0,0,39.36,보통
19,2019-01-01,1,19,0.03,화,-8.2,-0.6,0,0,39.36,보통
20,2019-01-01,1,20,0.01,화,-8.2,-0.6,0,0,39.36,보통
21,2019-01-01,1,21,0.06,화,-8.2,-0.6,0,0,39.36,보통
22,2019-01-01,1,22,0.03,화,-8.2,-0.6,0,0,39.36,보통
23,2019-01-01,1,23,0.019,화,-8.2,-0.6,0,0,39.36,보통
24,2019-01-02,1,00,0.047,수,-8.8,0.2,0,0,33.08,보통
25,2019-01-02,1,01,0.015,수,-8.8,0.2,0,0,33.08,보통
26,2019-01-02,1,02,0.0,수,-8.8,0.2,0,0,33.08,보통
27,2019-01-02,1,03,0.015,수,-8.8,0.2,0,0,33.08,보통
28,2019-01-02,1,04,0.033,수,-8.8,0.2,0,0,33.08,보통
29,2019-01-02,1,05,0.0,수,-8.8,0.2,0,0,33.08,보통
30,2019-01-02,1,06,0.011,수,-8.8,0.2,0,0,33.08,보통
31,2019-01-02,1,07,0.0,수,-8.8,0.2,0,0,33.08,보통
32,2019-01-02,1,08,0.039,수,-8.8,0.2,0,0,33.08,보통
