,date,hour,rate
0,2019-01-01,00,10
1,2019-01-01,01,2
2,2019-01-01,02,1
3,2019-01-01,03,20
4,2019-01-01,04,60
5,2019-01-01,05,41
6,2019-01-01,06,0
7,2019-01-01,07,0
8,2019-01-01,08,1
9,2019-01-01,09,2
10,2019-01-01,10,11
11,2019-01-01,11,1
12,2019-01-01,12,55
13,2019-01-01,13,60
14,2019-01-01,14,17
15,2019-01-01,15,24
16,2019-01-01,16,11
17,2019-01-01,17,3
18,2019-01-01,18,21
19,2019-01-01,19,8
20,2019-01-01,20,3
21,2019-01-01,21,5
22,2019-01-01,22,9
23,2019-01-01,23,2
24,2019-01-02,00,8
25,2019-01-02,01,3
26,2019-01-02,02,0
27,2019-01-02,03,1
28,2019-01-02,04,1
29,2019-01-02,05,0
30,2019-01-02,06,5
31,2019-01-02,07,0
32,2019-01-02,08,23
33,2019-01-02,09,4
34,2019-01-02,10,32
35,2019-01-02,11,30
36,2019-01-02,12,28
37,2019-01-02,13,25
38,2019-01-02,14,20
39,2019-01-02,15,27
40,2019-01-02,16,8
41,2019-01-02,17,6
42,2019-01-02,18,17
43,2019-01-02,19,12
44,2019-01-02,20,3
45,2019-01-02,21,5
46,2019-01-02,22,18
47,2019-01-02,23,31
48,2019-01-03,00,1
49,2019-01-03,01,1
50,2019-01-03,02,2
51,2019-01-03,03,2
52,2019-01-03,04,6
53,2019-01-03,05,25
54,2019-01-03,06,3
55,2019-01-03,07,9
56,2019-01-03,08,7
57,2019-01-03,09,8
58,2019-01-03,10,7
59,2019-01-03,11,23
60,2019-01-03,12,1
61,2019-01-03,13,2
62,2019-01-03,14,11
63,2019-01-03,15,0
64,2019-01-03,16,10
65,2019-01-03,17,7
66,2019-01-03,18,4
67,2019-01-03,19,2
68,2019-01-03,20,5
69,2019-01-03,21,1
70,2019-01-03,22,5
71,2019-01-03,23,6
72,2019-01-04,00,0
73,2019-01-04,01,16
74,2019-01-04,02,7
75,2019-01-04,03,4
76,2019-01-04,04,0
77,2019-01-04,05,0
78,2019-01-04,06,1
79,2019-01-04,07,0
80,2019-01-04,08,6
81,2019-01-04,09,10
82,2019-01-04,10,1
83,2019-01-04,11,11
84,2019-01-04,12,27
85,2019-01-04,13,7
86,2019-01-04,14,3
87,2019-01-04,15,19
88,2019-01-04,16,15
89,2019-01-04,17,12
90,2019-01-04,18,3
91,2019-01-04,19,1
92,2019-01-04,20,0
93,2019-01-04,21,11
94,2019-01-04,22,21
95,2019-01-04,23,3
96,2019-01-05,00,7
97,2019-01-05,01,12
98,2019-01-05,02,0
99,2019-01-05,03,0
100,2019-01-05,04,0
101,2019-01-05,05,3
102,2019-01-05,06,1
103,2019-01-05,07,3
104,2019-01-05,08,9
105,2019-01-05,09,7
106,2019-01-05,10,60
107,2019-01-05,11,0
