,방송일시,hour,ampm,마더코드,상품코드,상품명,상품군,판매단가,노출시간,취급액,판매개수
0,2019-01-01,13,PM,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,60.0,111546000.0,1024.0
1,2019-01-01,14,PM,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,119000,60.0,51795000.0,436.0
2,2019-01-01,14,PM,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,의류,119000,60.0,68135000.0,573.0
3,2019-01-01,15,PM,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,60.0,86177000.0,1416.0
4,2019-01-01,16,PM,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,40.0,176244000.0,3532.0
5,2019-01-01,16,PM,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,20.0,83893000.0,1376.0
6,2019-01-01,17,PM,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,60.0,222836000.0,5599.0
7,2019-01-01,6,AM,100346,201072,테이트 남성 셀린니트3종,의류,39900,60.0,12033000.0,302.0
8,2019-01-01,6,AM,100346,201079,테이트 여성 셀린니트3종,의류,39900,60.0,20663000.0,518.0
9,2019-01-01,18,PM,100435,201350,우리바다 손질왕꼬막 24팩,농수축,39900,60.0,246455000.0,6177.0
10,2019-01-01,7,AM,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,60.0,47878000.0,812.0
11,2019-01-01,19,PM,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000,60.0,190579000.0,1602.0
12,2019-01-01,8,AM,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,60.0,99736000.0,1666.0
13,2019-01-01,20,PM,100150,200465,무이자 LG 통돌이 세탁기,가전,489000,60.0,123876000.0,254.0
14,2019-01-01,20,PM,100150,200533,일시불 LG 통돌이 세탁기,가전,439000,60.0,160698000.0,367.0
15,2019-01-01,9,AM,100816,202404,보코 리버시블 무스탕,의류,79000,60.0,90973000.0,1152.0
16,2019-01-01,21,PM,100049,202044,마리노블 밍크 롱코트,의류,499000,60.0,154715000.0,311.0
17,2019-01-01,10,AM,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,60.0,259678000.0,3251.0
18,2019-01-01,22,PM,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,60.0,115831000.0,388.0
19,2019-01-01,11,AM,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,40.0,74360000.0,1064.0
20,2019-01-01,23,PM,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,60.0,122537000.0,1364.0
21,2019-01-01,12,PM,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,60.0,192141000.0,3156.0
22,2019-01-02,1,AM,100193,200652,레이프릴 무빙 맥시풀커버 브라팬티,속옷,69900,57.1,43858000.0,628.0
23,2019-01-02,13,PM,100844,202491,하늘내린 용대리황태10미,농수축,32900,60.0,112947000.0,3434.0
24,2019-01-02,14,PM,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,60.0,85256000.0,783.0
25,2019-01-02,15,PM,100253,200864,안동간고등어 20팩,농수축,30900,60.0,155211000.0,5024.0
26,2019-01-02,16,PM,100722,202112,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",농수축,30900,60.0,27619000.0,894.0
27,2019-01-02,16,PM,100722,202113,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,30900,60.0,47845000.0,1549.0
